Number;Type FR;Type EN;Type DE
20;Voiture de 2ème classe avec 10 compartiments ou 20-21 rangées;2nd class coach with 10 compartments or 20-21 rows;<keine Übersezung>
29;Voiture de 2ème classe avec 9 compartiments ou 18-19 rangées;2nd class coach with 9 compartments or 18-19 rows;<keine Übersezung>
20;Voiture de 1ère/2ème classe avec 10 compartiments ou 20-21 rangées;1st/2nd class coach with 10 compartments or 20-21 rows;<keine Übersezung>
39;Voiture de 1ère/2ème classe avec 9 compartiments ou 18-19 rangées;1st/2nd class coach with 9 compartments or 18-19 rows;<keine Übersezung>
420;Re 4/4 II;Re 4/4 II;Re 4/4 II
450;Re 450;Re 450;Re 450
460;Re 460;Re 460;Re 460
465;Re 465 (BLS);Re 465 (BLS);Re 465 (BLS)
560;RBDe 560;RBDe 560;RBDe 560
561;RBDe 561;RBDe 561;RBDe 561
562;RBDe 562;RBDe 562;RBDe 562
